iter	Passed	Remaining
0	26	26646
1	58	29125
2	83	27600
3	108	26940
4	131	26121
5	153	25443
6	178	25307
7	203	25175
8	229	25221
9	253	25048
10	279	25120
11	304	25063
12	328	24944
13	352	24791
14	375	24642
15	398	24512
16	423	24470
17	447	24400
18	470	24304
19	495	24256
20	519	24231
21	542	24119
22	566	24074
23	592	24081
24	614	23973
25	639	23942
26	661	23844
27	684	23744
28	707	23678
29	730	23625
30	756	23637
31	779	23585
32	801	23496
33	825	23467
34	850	23456
35	874	23417
36	899	23415
37	924	23404
38	948	23373
39	972	23336
40	995	23287
41	1019	23243
42	1042	23194
43	1065	23154
44	1088	23097
45	1110	23035
46	1135	23023
47	1159	22994
48	1182	22945
49	1204	22887
50	1225	22804
51	1248	22759
52	1273	22749
53	1296	22704
54	1318	22651
55	1342	22636
56	1366	22608
57	1389	22568
58	1411	22514
59	1437	22524
60	1460	22484
61	1486	22484
62	1508	22436
63	1532	22415
64	1558	22416
65	1581	22385
66	1602	22314
67	1624	22271
68	1649	22259
69	1673	22229
70	1698	22223
71	1720	22169
72	1746	22173
73	1771	22171
74	1797	22166
75	1824	22183
76	1848	22157
77	1872	22133
78	1895	22096
79	1917	22047
80	1941	22023
81	1963	21980
82	1986	21948
83	2010	21920
84	2033	21891
85	2057	21863
86	2081	21843
87	2104	21815
88	2129	21799
89	2152	21763
90	2177	21747
91	2201	21724
92	2224	21696
93	2246	21653
94	2268	21613
95	2290	21571
96	2314	21547
97	2338	21525
98	2364	21520
99	2387	21483
100	2410	21455
101	2434	21430
102	2459	21415
103	2482	21383
104	2505	21355
105	2528	21327
106	2552	21300
107	2575	21271
108	2598	21241
109	2621	21213
110	2645	21184
111	2669	21162
112	2691	21128
113	2714	21096
114	2736	21060
115	2760	21039
116	2784	21016
117	2807	20984
118	2829	20948
119	2853	20924
120	2875	20889
121	2901	20878
122	2926	20863
123	2950	20842
124	2972	20810
125	2995	20779
126	3018	20751
127	3042	20726
128	3065	20696
129	3090	20680
130	3115	20669
131	3140	20650
132	3163	20622
133	3185	20584
134	3208	20555
135	3233	20540
136	3256	20512
137	3279	20482
138	3303	20460
139	3326	20432
140	3350	20411
141	3374	20388
142	3396	20353
143	3418	20320
144	3440	20289
145	3463	20257
146	3488	20245
147	3510	20211
148	3535	20190
149	3559	20169
150	3582	20141
151	3604	20110
152	3626	20075
153	3649	20048
154	3675	20037
155	3696	19996
156	3721	19983
157	3744	19953
158	3768	19931
159	3792	19909
160	3814	19878
161	3837	19849
162	3859	19817
163	3884	19800
164	3908	19779
165	3931	19753
166	3957	19739
167	3981	19719
168	4004	19692
169	4026	19660
170	4051	19640
171	4076	19625
172	4099	19596
173	4121	19563
174	4145	19542
175	4168	19515
176	4191	19489
177	4212	19454
178	4236	19431
179	4260	19406
180	4282	19376
181	4305	19350
182	4327	19322
183	4349	19289
184	4373	19267
185	4395	19238
186	4420	19217
187	4443	19191
188	4466	19165
189	4488	19137
190	4511	19109
